id	name	plz	ort	website	telefon	loecher	restaurant	driving_range	schnupperkurse	platzreifekurse	email	notiz
77	Golf Club Ebersberg e.V.	85643	Steinhöring	https://www.gc-ebersberg.de	08094 8106	18/9	1	1	1	1	info@gc-ebersberg.de	 | alle: info@gc-ebersberg.de, sapia@gc-ebersberg.de, perzl@gc-ebersberg.de
612	Golfplatz Thailing GmbH & Co. KG	85643	Steinhöring	https://www.golfplatz-thailing.de	08094 90550-0	24	1	1	1	1	info@golfplatz-thailing.de	 | alle: info@golfplatz-thailing.de
673	Münchener Golf-Club e.V.	82064	Straßlach-Dingharting	https://www.mgc-golf.de	08170929180	36	1	1	1	1	strasslach@mgc-golf.de	 | alle: strasslach@mgc-golf.de, thalkirchen@mgc-golf.de
221	Golf-Club Oberfranken e.V.	95349	Thurnau	https://www.gc-oberfranken.de	09228 319	18	1	1	1	1	info@gc-oberfranken.de	 | alle: info@gc-oberfranken.de
137	Golf Resort Anetseder	94136	Thyrnau	https://www.golf-passau.de	08501 91313	18/6	1	1	1	1	info@golf-passau.de	 | alle: info@golf-passau.de
349	Golfclub Fahrenbach	95709	Tröstau	https://www.golfclub-fahrenbach.de	09232 882250	18	0	1	0	0	info@golfclub-fahrenbach.de	 | alle: info@golfclub-fahrenbach.de
236	Golf-Club Tutzing e.V.	82327	Tutzing	https://www.golfclub-tutzing.de	0 81 58  36 00	18	1	1	1	1	info@golfclub-tutzing.de	 | alle: info@golfclub-tutzing.de
439	Golfclub München Valley e.V.	83626	Valley	https://www.golfvalley.de/	08024 902790		1	1	1	1	info@golfvalley.de	 | alle: info@golfvalley.de
70	Golf Club Am Habsberg e.V.	92355	Velburg-Unterwiesenacker	https://www.juragolf.de	09182 931910	18	1	1	1	1	info@juragolf.de	 | alle: info@juragolf.de, akademie@juragolf.de
251	Golfanlage Gerhelm	91235	Velden	http://www.gerhelm.de	09152 398	18	0	1	0	0	buero@gerhelm.de	 | alle: buero@gerhelm.de, name@beispiel.de
547	Golfclub Vilsbiburg e.V.	84137	Vilsbiburg-Trauterfing	https://www.gc-vilsbiburg.de	08741 968680	9	1	1	1	1		Fehler: URLError
611	Golfplatz Tegernsee	83666	Waakirchen	http://www.golfplatz-waakirchen-tegernsee.de	+49 8021 5520	18 + 6	1	1	1	1	info@golfplatz-tegernsee.de	 | alle: info@golfplatz-tegernsee.de
52	GAT Golf am Tegernsee - Margarethenhof	83666	Waakirchen/Marienstein	https://www.margarethenhof.com	08022 75060	18	1	1	1	1		keine Adresse gefunden
707	Tölzer Golfclub e.V.	83646	Wackersberg	https://www.toelzer-golfclub.de	080418084944	9	1	1	1	1	golf@toelzer-golfclub.de	 | alle: golf@toelzer-golfclub.de
144	Golf- &  Landclub Karwendel e.V.	82499	Wallgau	https://www.golfclub-karwendel.de	0 88 25 - 21 83	9	1	1	1	1	info@golfclub-karwendel.de	 | alle: info@golfclub-karwendel.de
272	Golfanlage Weiherhof	86459	Weiherhof	https://www.golfanlage-weiherhof.de	+498238965119	9	0	1	1	1	golfanlageweiherhof@yahoo.de	 | alle: golfanlageweiherhof@yahoo.de
185	Golf-Club Coburg e.V. Schloss Tambach	96479	Weitramsdorf	https://www.gc-coburg.de	09567 981158-0	18	1	1	1	1	info@gc-coburg.de	 | alle: info@gc-coburg.de, info@gc-coburg.dewebadresse, flo.garhammer@gmail.com, info@glasgow-golf.de
562	Golfclub Wörthsee e.V.	82237	Wörthsee		08153 93477-0	18/6	1	1	0	0		keine Website
125	Golf Club Würzburg e.V.	97084	Würzburg	https://www.golfclub-wuerzburg.de	0931 67890	18	1	1	1	1	info@golfclub-wuerzburg.de	 | alle: info@golfclub-wuerzburg.de, artisa@soulfood-company.de
